node,cycle_id
9,0
18,0
18,1
9,1
27,2
36,2
36,3
27,3
45,4
54,4
54,5
45,5
63,6
72,6
72,7
63,7
81,8
90,8
90,9
81,9
117,10
126,10
126,11
117,11
135,12
144,12
144,13
135,13
153,14
162,14
162,15
153,15
171,16
180,16
180,17
171,17
207,18
216,18
216,19
207,19
225,20
234,20
234,21
225,21
243,22
252,22
252,23
243,23
261,24
270,24
270,25
261,25
315,26
324,26
324,27
315,27
333,28
342,28
342,29
333,29
351,30
360,30
360,31
351,31
405,32
414,32
414,33
405,33
423,34
432,34
432,35
423,35
441,36
450,36
450,37
441,37
513,38
522,38
522,39
513,39
531,40
540,40
540,41
531,41
603,42
612,42
612,43
603,43
621,44
630,44
630,45
621,45
711,46
720,46
720,47
711,47
801,48
810,48
810,49
801,49
1026,50
1017,50
1017,51
1026,51
1035,52
1044,52
1044,53
1035,53
1053,54
1062,54
1062,55
1053,55
1071,56
1080,56
1080,57
1071,57
1107,58
1116,58
1116,59
1107,59
1125,60
1134,60
1134,61
1125,61
1143,62
1152,62
1152,63
1143,63
1161,64
1170,64
1170,65
1161,65
1215,66
1224,66
1224,67
1215,67
1233,68
1242,68
1242,69
1233,69
1251,70
1260,70
1260,71
1251,71
1305,72
1314,72
1314,73
1305,73
1323,74
1332,74
1332,75
1323,75
1341,76
1350,76
1350,77
1341,77
1413,78
1422,78
1422,79
1413,79
1431,80
1440,80
1440,81
1431,81
1503,82
1512,82
1512,83
1503,83
1521,84
1530,84
1530,85
1521,85
1611,86
1620,86
1620,87
1611,87
1701,88
1710,88
1710,89
1701,89
1791,90
1809,90
1827,90
1845,90
1863,90
1881,90
1899,90
1926,90
1908,90
1890,90
1872,90
1854,90
1836,90
1818,90
1800,90
1800,91
1791,91
1809,91
1827,91
1845,91
1863,91
1881,91
1899,91
1926,91
1908,91
1890,91
1872,91
1854,91
1836,91
1818,91
1809,92
1827,92
1845,92
1863,92
1881,92
1899,92
1926,92
1908,92
1890,92
1872,92
1854,92
1836,92
1818,92
1800,92
1791,92
1818,93
1800,93
1791,93
1809,93
1827,93
1845,93
1863,93
1881,93
1899,93
1926,93
1908,93
1890,93
1872,93
1854,93
1836,93
1827,94
1845,94
1863,94
1881,94
1899,94
1926,94
1908,94
1890,94
1872,94
1854,94
1836,94
1818,94
1800,94
1791,94
1809,94
1836,95
1818,95
1800,95
1791,95
1809,95
1827,95
1845,95
1863,95
1881,95
1899,95
1926,95
1908,95
1890,95
1872,95
1854,95
1845,96
1863,96
1881,96
1899,96
1926,96
1908,96
1890,96
1872,96
1854,96
1836,96
1818,96
1800,96
1791,96
1809,96
1827,96
1854,97
1836,97
1818,97
1800,97
1791,97
1809,97
